,ds,y
0,2019-06-01,17.553801399999998
1,2019-06-02,1.8581394
2,2019-06-03,4.6453485
3,2019-06-04,293.59377720000236
4,2019-06-05,432.0174105000044
5,2019-06-06,116.13371249999994
6,2019-06-07,54.815112299999974
7,2019-06-08,1.8581394
8,2019-06-09,0.9290697
9,2019-06-10,186.7430097000008
10,2019-06-11,219.2604492000013
11,2019-06-12,14.865115199999996
12,2019-06-13,102.19766699999995
13,2019-06-14,80.82906389999997
14,2019-06-15,0.0
15,2019-06-16,0.9290697
16,2019-06-17,378.1313679000036
17,2019-06-18,84.54534269999996
18,2019-06-19,73.39650629999997
19,2019-06-20,107.77208519999995
20,2019-06-21,63.072361699999966
21,2019-06-22,69.68022749999997
22,2019-06-23,110.55929429999995
23,2019-06-24,119.84999129999994
24,2019-06-25,106.84301549999995
25,2019-06-26,98.48138819999996
26,2019-06-27,97.55231849999996
27,2019-06-28,86.40348209999996
28,2019-06-29,54.815112299999974
29,2019-06-30,72.46743659999997
30,2019-07-01,141.21859440000014
31,2019-07-02,127.28254889999994
32,2019-07-03,134.71510650000005
33,2019-07-04,119.84999129999994
34,2019-07-05,108.70115489999995
35,2019-07-06,78.97092449999997
36,2019-07-07,180.23952180000072
37,2019-07-08,227.6220765000014
38,2019-07-09,157.01277930000037
39,2019-07-10,175.59417330000065
40,2019-07-11,158.8709187000004
41,2019-07-12,144.00580350000018
42,2019-07-13,145.8639429000002
43,2019-07-14,154.22557020000033
44,2019-07-15,209.04068250000114
45,2019-07-16,175.59417330000065
46,2019-07-17,173.73603390000062
47,2019-07-18,140.28952470000013
48,2019-07-19,115.20464279999995
49,2019-07-20,53.886042599999975
50,2019-07-21,111.48836399999995
51,2019-07-22,140.28952470000013
52,2019-07-23,157.01277930000037
53,2019-07-24,134.71510650000005
54,2019-07-25,116.13371249999994
55,2019-07-26,97.55231849999996
56,2019-07-27,83.61627299999996
57,2019-07-28,129.14068829999997
58,2019-07-29,178.3813824000007
59,2019-07-30,170.94882480000058
60,2019-07-31,168.16161570000054
61,2019-08-01,123.56627009999994
62,2019-08-02,114.27557309999995
63,2019-08-03,69.68022749999997
64,2019-08-04,130.06975799999998
65,2019-08-05,157.9418490000004
66,2019-08-06,165.3744066000005
67,2019-08-07,166.3034763000005
68,2019-08-08,149.58022170000027
69,2019-08-09,124.49533979999994
70,2019-08-10,142.14766410000016
71,2019-08-11,144.00580350000018
72,2019-08-12,205.32440370000108
73,2019-08-13,202.53719460000104
74,2019-08-14,173.73603390000062
75,2019-08-15,152.3674308000003
76,2019-08-16,121.70813069999994
77,2019-08-17,98.48138819999996
78,2019-08-18,130.06975799999998
79,2019-08-19,181.16859150000073
80,2019-08-20,150.50929140000028
81,2019-08-21,101.26859729999995
82,2019-08-22,80.82906389999997
83,2019-08-23,54.815112299999974
84,2019-08-24,56.67325169999997
85,2019-08-25,101.26859729999995
86,2019-08-26,90.11976089999996
87,2019-08-27,93.83603969999996
88,2019-08-28,82.68720329999996
89,2019-08-29,106.84301549999995
90,2019-08-30,86.40348209999996
91,2019-08-31,73.39650629999997
92,2019-09-01,123.56627009999994
93,2019-09-02,149.58022170000027
94,2019-09-03,133.78603680000003
95,2019-09-04,94.76510939999996
96,2019-09-05,86.40348209999996
97,2019-09-06,76.18371539999997
98,2019-09-07,65.03487899999998
99,2019-09-08,135.64417620000006
100,2019-09-09,127.28254889999994
101,2019-09-10,142.14766410000016
102,2019-09-11,126.35347919999994
103,2019-09-12,113.34650339999995
104,2019-09-13,82.68720329999996
105,2019-09-14,73.39650629999997
106,2019-09-15,110.55929429999995
107,2019-09-16,133.78603680000003
108,2019-09-17,125.42440949999994
109,2019-09-18,118.92092159999994
110,2019-09-19,96.62324879999996
111,2019-09-20,72.46743659999997
112,2019-09-21,64.10580929999998
113,2019-09-22,120.77906099999994
114,2019-09-23,129.14068829999997
115,2019-09-24,105.91394579999995
116,2019-09-25,111.48836399999995
117,2019-09-26,77.11278509999997
118,2019-09-27,52.027903199999976
119,2019-09-28,53.886042599999975
120,2019-09-29,83.61627299999996
121,2019-09-30,107.77208519999995
122,2019-10-01,94.76510939999996
123,2019-10-02,93.83603969999996
124,2019-10-03,90.11976089999996
125,2019-10-04,69.68022749999997
126,2019-10-05,115.20464279999995
127,2019-10-06,118.92092159999994
128,2019-10-07,144.00580350000018
129,2019-10-08,140.28952470000013
130,2019-10-09,153.29650050000032
131,2019-10-10,99.41045789999995
132,2019-10-11,83.61627299999996
133,2019-10-12,80.82906389999997
134,2019-10-13,120.77906099999994
135,2019-10-14,147.72208230000024
136,2019-10-15,110.55929429999995
137,2019-10-16,93.83603969999996
138,2019-10-17,69.68022749999997
139,2019-10-18,60.38953049999997
140,2019-10-19,70.60929719999997
141,2019-10-20,98.48138819999996
142,2019-10-21,88.26162149999996
143,2019-10-22,80.82906389999997
144,2019-10-23,84.54534269999996
145,2019-10-24,65.96394869999997
146,2019-10-25,71.53836689999997
147,2019-10-26,59.46046079999997
148,2019-10-27,51.09883349999998
149,2019-10-28,65.96394869999997
150,2019-10-29,100.33952759999995
151,2019-10-30,105.91394579999995
152,2019-10-31,82.68720329999996
153,2019-11-01,61.31860019999997
154,2019-11-02,66.89301839999997
155,2019-11-03,95.69417909999996
156,2019-11-04,102.19766699999995
157,2019-11-05,100.33952759999995
158,2019-11-06,80.82906389999997
159,2019-11-07,61.31860019999997
160,2019-11-08,57.60232139999997
161,2019-11-09,82.68720329999996
162,2019-11-10,125.42440949999994
163,2019-11-11,176.52324300000066
164,2019-11-12,115.20464279999995
